Index_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,State Type,Functional,Expression,Engineer,Table_Name,Spatial_Index,Spatial_Layer_Type,Geodetic_Index,Number_Of_Dimensions
"PK_Session_T1",8C0D00FC-6CFA-EDD9-54E0-34A2261054EA,2703,,4FA66A85-7CD3-5CD1-3397-880B85F3E950,155,Primary Constraint,,N,Y,"Session_T1",N,,,,
"FK_Term_T1_Session_T1",F21E8058-7C75-ED5C-EE7E-D585751D60F3,2704,,C8895EDF-05D5-0DFC-BFEC-5EA7357D6DF8,169,Foreign Key,,N,Y,"Term_T1",N,,,,
"PK_Term_T1",EAC1B757-01C1-D12B-6F72-48CEC77A367D,2705,,C8895EDF-05D5-0DFC-BFEC-5EA7357D6DF8,169,Primary Constraint,,N,Y,"Term_T1",N,,,,
"PK_Subject_T1",F7EEFD88-AFE9-3982-DBFF-58FABFD360CF,2706,,BCF4B24F-429F-E07B-1122-5834E0AB60CC,168,Primary Constraint,,N,Y,"Subject_T1",N,,,,
"PK_StudyField_T1",9136E3E1-B2A2-8681-F06A-D1DB75F93F01,2707,,DD4D20A2-F643-D138-0589-9BEC72BB5CC9,167,Primary Constraint,,N,Y,"StudyField_T1",N,,,,
"PK_AcademicOrganization_T1",65A061BB-CEB3-7D84-B6FC-5AE88DC801D3,2708,,1A6807F2-EE41-2E83-1417-FDDBD89FB5F1,93,Primary Constraint,,N,Y,"AcademicOrganization_T1",N,,,,
"PK_AcademicGroup_T1",176B9685-6CFC-CA35-E1FD-D956DF2E1C6B,2709,,0C049631-E09F-1B0C-C728-7A380654FC13,92,Primary Constraint,,N,Y,"AcademicGroup_T1",N,,,,
"PK_Facility_T1",FFC2609C-9304-594F-5385-34D5FFD75594,2710,,C1F28C49-20BB-FA10-ACDB-1A0597C64EAE,130,Primary Constraint,,N,Y,"Facility_T1",N,,,,
"PK_TranslateValue_T1",3BD1DAAF-BC70-94A8-5E75-F32098775150,2711,,A650F76C-15C6-C3DA-EB03-99E64AB6324E,171,Primary Constraint,,N,Y,"TranslateValue_T1",N,,,,
"PK_Class_T1",C0A9493D-F7E4-C59D-7E11-53F622FC1966,2712,,EFAE6AF7-D6D0-FD04-AEB9-5351AB2528E0,105,Primary Constraint,,N,Y,"Class_T1",N,,,,
"PK_AcademicCareer_T1",0C4E1C1B-39B4-9BFF-3305-07ECA69D78EE,2713,,8007C8C4-EF58-E8AD-55A7-BFAA3E83A1B7,91,Primary Constraint,,N,Y,"AcademicCareer_T1",N,,,,
"PK_DimClass",55412E74-0FEF-DCCE-A425-1A97BAE8B00A,2714,,D834F567-76BE-8A54-6B5D-7B106ED1710F,109,Primary Constraint,,N,Y,"DimClass",N,,,,
"IX_TranslateValue_T1_",B920B906-2E36-E347-D764-A2700C9097DD,2715,,A650F76C-15C6-C3DA-EB03-99E64AB6324E,171,Unique Plain Index,,N,Y,"TranslateValue_T1",N,,,,
"UX_TranslateValue_T1_Lkp",E9678795-A6B1-D693-E0EC-2F8B4039562A,2716,,A650F76C-15C6-C3DA-EB03-99E64AB6324E,171,Unique Constraint,,N,Y,"TranslateValue_T1",N,,,,
"FK_Term_T1_TranslateValue_T1",F1F7EA1B-B26D-3443-BFB2-313A0BE02CCA,2717,,C8895EDF-05D5-0DFC-BFEC-5EA7357D6DF8,169,Foreign Key,,N,Y,"Term_T1",N,,,,
"PK_CalendarTerm_T1",260A3E03-4265-637E-7D29-B33346E1E943,2718,,9AD7D89D-41D6-F462-501E-32A07CA90CB5,102,Primary Constraint,,N,Y,"CalendarTerm_T1",N,,,,
"UX_CalendarTerm_T1_Lkp",1ECDB148-5830-F007-D108-23302ED7D785,2719,,9AD7D89D-41D6-F462-501E-32A07CA90CB5,102,Unique Constraint,,N,Y,"CalendarTerm_T1",N,,,,
"FK_Term_T1_CalendarTerm_T1",FD69D03A-EAA8-D939-344E-632EBB813F13,2720,,C8895EDF-05D5-0DFC-BFEC-5EA7357D6DF8,169,Foreign Key,,N,Y,"Term_T1",N,,,,
"FK_DimClass_Term_T1",469A93AB-E09D-32C0-797D-57C72CC032CA,2721,,D834F567-76BE-8A54-6B5D-7B106ED1710F,109,Foreign Key,,N,Y,"DimClass",N,,,,
"FK_DimClass_Class_T1",0E9F55FD-2FB4-68F5-5C8C-5C78D5C15CA0,2722,,D834F567-76BE-8A54-6B5D-7B106ED1710F,109,Foreign Key,,N,Y,"DimClass",N,,,,
"FK_DimClass_AcademicCareer_T1",2494CB82-1C83-CB9E-F80C-6F73D4EB4BFE,2723,,D834F567-76BE-8A54-6B5D-7B106ED1710F,109,Foreign Key,,N,Y,"DimClass",N,,,,
