Logical_Type_ID,Num_Logical_Type_ID,LT_Name
LOGDT017,22,"unknown",
LOGDT005,23,"Audio",
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,24,"BFile",
LOGDT027,25,"BIGINT",
LOGDT033,26,"BINARY",
LOGDT056,27,"BINARY DOUBLE",
LOGDT055,28,"BINARY FLOAT",
LOGDT034,29,"BIT",
LOGDT029,30,"BLOB",
LOGDT006,31,"Boolean",
LOGDT025,32,"CHAR",
LOGDT028,33,"CLOB",
LOGDT030,34,"DATALINK",
LOGDT007,35,"Date",
LOGDT008,36,"Datetime",
91229484-D19C-D458-8647-333C7FFE7B60,37,"DATETIME2",
LOGDT054,38,"DBURIType",
LOGDT026,39,"DECIMAL",
69230305-AB6A-99EB-35A1-CC306D543604,40,"DECFLOAT",
LOGDT020,41,"DOUBLE",
LOGDT021,42,"FLOAT",
LOGDT031,43,"GRAPHIC",
LOGDT052,44,"HTTPURIType",
LOGDT049,45,"INTERVAL DAY TO SECOND",
LOGDT048,46,"INTERVAL YEAR TO MONTH",
LOGDT010,47,"Image",
LOGDT011,48,"Integer",
LogDes-1768A872-F385-FDBA-D95E-0CB63F5908E2@LOGDT10045,49,"Long Char",
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10036,50,"Long_Raw",
LOGDT043,51,"MONEY",
LOGDT035,52,"NCHAR",
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10035,53,"NClob",
LOGDT036,54,"NTEXT",
LOGDT019,55,"NUMERIC",
LOGDT037,56,"NVARCHAR",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10005,57,"ORDAUDIO",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10009,58,"ORDDOC",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10006,59,"ORDIMAGE",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10007,60,"ORDIMAGE_SIGNATURE",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10008,61,"ORDVIDEO",
LOGDT022,62,"REAL",
LOGDT032,63,"ROWID",
LogDes-4BABEC65-108B-2A3C-F7C4-84AC47D292B0@LOGDT10040,64,"Raw",
LOGDT038,65,"SMALLDATETIME",
LOGDT018,66,"SMALLINT",
LOGDT044,67,"SMALLMONEY",
LOGDT045,68,"SQL_VARIANT",
LOGDT039,69,"SYSNAME",
LogDes-F046B719-7D91-3873-3302-38C441683842@LOGDT10010,70,"SYS_ANYDATA",
LogDes-22E251EB-9F6C-8137-56B2-DD4B87DC1E33@LOGDT10030,71,"SYS_ANYDATASET",
LogDes-F046B719-7D91-3873-3302-38C441683842@LOGDT10011,72,"SYS_ANYTYPE",
LOGDT040,73,"TEXT",
LOGDT047,74,"TIMESTAMP WITH LOCAL TIME ZONE",
LOGDT046,75,"TIMESTAMP WITH TIME ZONE",
LOGDT042,76,"TINYINT",
LOGDT014,77,"Time",
LOGDT015,78,"Timestamp",
LOGDT057,79,"UNIQUEIDENTIFIER",
LOGDT051,80,"URIType",
LogDes-4BABEC65-108B-2A3C-F7C4-84AC47D292B0@LOGDT10041,81,"URowID",
LOGDT041,82,"VARBINARY",
LOGDT024,83,"VARCHAR",
LOGDT023,84,"VARGRAPHIC",
LOGDT016,85,"Video",
LOGDT053,86,"XDBURIType",
LOGDT050,87,"XMLType",
A3A3C77D-0366-9768-FF89-1C25E56881C8,88,"String",
47823B89-BECE-2D4A-B641-EE3BE6149078,89,"JSON",
