ColumnID,Num_ColumnID,Table_ID,Num_Table_ID,Table_Name,Column_Name
54755C50-7E99-B6DA-9597-03D7E8D975E1,229,8007C8C4-EF58-E8AD-55A7-BFAA3E83A1B7,91,"AcademicCareer_T1","AcademicCareer_HK",
C173A61C-034A-03B1-108D-E2DF04A191EB,283,0C049631-E09F-1B0C-C728-7A380654FC13,92,"AcademicGroup_T1","AcademicGroup_HK",
1F383CF3-4571-AF12-FEE4-F1D5518664B3,301,1A6807F2-EE41-2E83-1417-FDDBD89FB5F1,93,"AcademicOrganization_T1","AcademicOrganization_HK",
0B582366-7366-8E4F-B9FB-DB48552140C4,1482,9AD7D89D-41D6-F462-501E-32A07CA90CB5,102,"CalendarTerm_T1","LinkCalendarTerm_HK",
3B6D7584-A10C-3869-1C23-8E2266C59213,760,EFAE6AF7-D6D0-FD04-AEB9-5351AB2528E0,105,"Class_T1","Class_HK",
A242684A-7D3E-F353-AB7E-6D7AC1AA3FFB,759,D834F567-76BE-8A54-6B5D-7B106ED1710F,109,"DimClass","Class_HK",
6DA1BD40-D78A-96F0-0987-9EB387DEF684,1222,C1F28C49-20BB-FA10-ACDB-1A0597C64EAE,130,"Facility_T1","Facility_HK",
6079B422-4B15-0173-6CD4-F137F3281D5F,2100,4FA66A85-7CD3-5CD1-3397-880B85F3E950,155,"Session_T1","Session_HK",
78351193-F79A-C020-9698-0B9288D72616,2402,DD4D20A2-F643-D138-0589-9BEC72BB5CC9,167,"StudyField_T1","StudyField_HK",
B999883E-F1CA-EE87-A523-215CB7C81D24,2413,BCF4B24F-429F-E07B-1122-5834E0AB60CC,168,"Subject_T1","Subject_HK",
CC45B57E-252F-B24C-610B-88D727A1236A,2444,C8895EDF-05D5-0DFC-BFEC-5EA7357D6DF8,169,"Term_T1","Term_HK",
E1F8D9FD-FA89-EB30-67AD-5833D47691CB,2514,A650F76C-15C6-C3DA-EB03-99E64AB6324E,171,"TranslateValue_T1","TranslateValue_HK",
