Name,Plural,Abbreviation,Alt. Abbreviation,Prime,Class,Modifier,Qualifier,Short Description
1,,,,false,false,true,false,
2,,,,false,false,true,false,
3,,,,false,false,true,false,
4,,,,false,false,true,false,
Address,,,ADDR,true,false,false,false,
AddressType,,,ADDR_TYPE,true,false,false,false,
ALTER_EMPLID,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
AlternateCharacter,,,AC,false,false,true,false,
BARG_UNIT,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
BILINGUALISM_CODE,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
Birth,,,,true,false,false,false,
CAMPUS_ID,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
CitizenshipProof,,,,true,false,false,false,
City,,,,true,false,false,false,
Code,,,CD,false,true,false,false,
Country,,,CNTRY,true,false,true,false,
County,,,,true,false,false,false,
CPAMID,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
DataType,,,DATA_TYPE,true,false,false,false,
Date,,,DT,false,true,false,false,
DateTime,,,DTTM,false,true,false,false,
Death,,,,true,false,false,false,
DEATH_CERTIF_NBR,,,DEATH_CERTIF,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
Description,,,DESCR,false,true,false,false,
DISABLED,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
DISABLED_VET,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
Display,,,,false,false,true,false,
Effective,,,EFF,true,false,false,false,
ENTRY_DT_FRA,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
EXPCTD_MILITARY_DT,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
EXTENSION,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
FERPA,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
Field,,,,false,true,false,false,
First,,,,false,false,true,false,
Formal,,,,false,false,true,false,
Format,,,,false,false,true,false,
FT_STUDENT,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GEO_CODE,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GEO_CODE_OTHER,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
Grade,,,,true,false,false,false,
GVT_CHANGE_FLAG,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_CRED_MIL_SVCE,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_CURR_AGCY_EMPL,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
GVT_CURR_FED_EMPL,,,,true,false,false,false,Names of fields from MySMU tables that are not expected to be used in the DW are left unchanged.
